dept,deptId,name,stationId
领导班子,1,经办人,1
党政综合办公室,2,经办人,2
党政综合办公室,2,部门负责人,3
党政综合办公室,2,分管领导,4
党政综合办公室（人大）,3,经办人,5
党政综合办公室（人大）,3,部门负责人,6
党政综合办公室（人大）,3,分管领导,7
党建工作办公室,4,经办人,8
党建工作办公室,4,部门负责人,9
党建工作办公室,4,分管领导,10
纪检,5,经办人,11
纪检,5,部门负责人,12
纪检,5,分管领导,13
工会,6,经办人,14
工会,6,部门负责人,15
工会,6,分管领导,16
妇联,7,经办人,17
妇联,7,部门负责人,18
妇联,7,分管领导,19
团委、政协,8,经办人,20
团委、政协,8,部门负责人,21
团委、政协,8,分管领导,22
关工委,9,经办人,23
关工委,9,部门负责人,24
关工委,9,分管领导,25
社会治理办公室,10,经办人,26
社会治理办公室,10,部门负责人,27
社会治理办公室,10,分管领导,28
综合执法办公室,11,经办人,29
综合执法办公室,11,部门负责人,30
综合执法办公室,11,分管领导,31
经济发展办公室（统计办公室）,12,经办人,32
经济发展办公室（统计办公室）,12,部门负责人,33
经济发展办公室（统计办公室）,12,分管领导,34
生态环境办公室,13,经办人,35
生态环境办公室,13,部门负责人,36
生态环境办公室,13,分管领导,37
社会事务服务管理办公室,14,经办人,38
社会事务服务管理办公室,14,部门负责人,39
社会事务服务管理办公室,14,分管领导,40
社会事务办（残联）,15,经办人,41
社会事务办（残联）,15,部门负责人,42
社会事务办（计生）,16,分管领导,43
社会事务办（计生）,16,经办人,44
社会事务办（计生）,16,部门负责人,45
社会事务办（计生）,16,分管领导,46
村镇建设管理办公室,17,经办人,47
村镇建设管理办公室,17,部门负责人,48
村镇建设管理办公室,17,分管领导,49
村镇建设管理办公室（搬迁）,18,经办人,50
村镇建设管理办公室（搬迁）,18,分管领导,51
村镇建设管理办公室（征迁）,19,经办人,52
村镇建设管理办公室（征迁）,19,部门负责人,53
村镇建设管理办公室（征迁）,19,分管领导,54
村镇建设管理办公室（搬迁）,20,部门负责人,55
财政办公室,21,经办人,56
财政办公室,21,部门负责人,57
财政办公室,21,分管领导,58
农业农村办公室,22,经办人,59
农业农村办公室,22,部门负责人,60
农业农村办公室,22,分管领导,61
招商和项目推进科,23,经办人,62
招商和项目推进科,23,部门负责人,63
招商和项目推进科,23,分管领导,64
综合服务中心综合服务中心（挂文化站牌子）,24,经办人,65
综合服务中心综合服务中心（挂文化站牌子）,24,部门负责人,66
综合服务中心综合服务中心（挂文化站牌子）,24,分管领导,67
工业社区,25,经办人,68
工业社区,25,部门负责人,69
工业社区,25,分管领导,70
百步社区,26,经办人,71
百步社区,26,部门负责人,72
百步社区,26,分管领导,73
生态环境执法分队,27,经办人,74
生态环境执法分队,27,部门负责人,75
生态环境执法分队,27,分管领导,76
市场监督管理局百步分局,28,经办人,77
市场监督管理局百步分局,28,部门负责人,78
市场监督管理局百步分局,28,分管领导,79
综合行政执法中队,29,经办人,80
综合行政执法中队,29,部门负责人,81
综合行政执法中队,29,分管领导,82
自然规划局百步分局,30,分管领导,83
自然规划局百步分局,30,经办人,84
自然规划局百步分局,30,部门负责人,85
领导班子,1,镇长,86
领导班子,1,党委书记,87
领导班子,1,财政所审核,88
领导班子,1,出纳,89
领导班子,1,纪委书记,90
领导班子,1,采购负责人,91
领导班子,1,党委副书记,92
领导班子,1,招标分中心,93
